inclination_deg,literal_min_satellites,phase_window_each_deg
40.0,4,47.69508025493998
40.25,4,47.96376295995847
40.5,4,48.22760193716825
40.75,4,48.486728833033816
41.0,4,48.741269942426804
41.25,4,48.99134650160571
41.5,4,49.23707496080003
41.75,4,49.47856723812067
42.0,4,49.71593095634776
42.25,4,49.94926966399588
42.5,4,50.17868304192329
42.75,4,50.40426709663131
43.0,4,50.62611434129402
43.25,4,50.84431396546277
43.5,4,51.05895199430507
43.75,4,51.270111438160654
44.0,4,51.47787243312859
44.25,4,51.682312373338405
44.5,4,51.88350603550108
44.75,4,52.08152569628703
45.0,4,52.27644124303162
45.25,4,52.46832027822823
45.5,4,52.65722821823171
45.75,4,52.84322838656098
46.0,4,53.02638210215893
46.25,4,53.20674876294012
46.5,4,53.384385924931195
46.75,4,53.55934937728541
47.0,4,53.73169321343222
47.25,4,53.90146989860298
47.5,4,54.06873033395622
47.75,4,54.23352391750994
48.0,4,54.3958986020735
48.25,4,54.55590095035754
48.5,4,54.7135761874288
48.75,4,54.868968250664224
49.0,4,55.02211983734857
49.25,4,55.17307245005028
49.5,4,55.32186643990051
49.75,4,55.468541047892806
50.0,4,55.613134444312685
50.25,4,55.75568376639931
50.5,4,55.896225154335184
50.75,4,56.03479378565336
51.0,4,56.17142390814612
51.25,4,56.306148871353955
51.5,4,56.43900115670869
51.75,4,56.57001240640011
52.0,4,56.699213451031206
52.25,4,56.82663433612337
52.5,4,56.95230434752909
52.75,4,57.076252035806434
53.0,4,57.19850523960623
53.25,4,57.319091108120276
53.5,4,57.43803612263567
53.75,4,57.55536611723833
54.0,4,57.67110629870576
54.25,4,57.785281265627454
54.5,7,54.56633064351241
54.75,7,52.4058372480256
55.0,7,50.94482992463547
55.25,7,49.78253485978074
55.5,7,48.798102416485854
55.75,7,47.93541301823134
56.0,7,47.16291502527449
56.25,7,46.46075806412741
56.5,7,45.81548173585241
56.75,7,45.217454472959325
57.0,7,44.65949919960749
57.25,7,44.13609549625265
57.5,7,43.64288752722226
57.75,7,43.17636557323027
58.0,7,42.733651659594
58.25,7,42.312350458005454
58.5,7,41.910442678653126
58.75,7,41.526207014755855
59.0,7,41.158161805331915
59.25,7,40.805020643063635
59.5,7,40.46565805251628
59.75,7,40.139082576314756
60.0,6,39.824415401372185
