satellites_per_plane,strict_overlap_ratio,nominal_overlap_ratio
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0014038325120890038
41,0.0,0.00789627901094131
42,0.0029018193185070817,0.016707624172112495
43,0.00986118203421138,0.026886279914708378
44,0.018659026260617245,0.03794861922880943
45,0.028602961032442253,0.049591615258859134
46,0.039306124869093406,0.061607908132286004
47,0.05051652562341208,0.07384863056798041
48,0.062057676225234004,0.08620376211116754
49,0.07380074465364245,0.09859049296830141
50,0.08564923071031627,0.11094578582276082
51,0.0975296439972923,0.12322135652298594
52,0.10938542854189487,0.13538014845166912
53,0.12117280142409426,0.14739377902666012
54,0.13285779408498505,0.15924064536683402
55,0.14441408728710636,0.17090449175323924
56,0.1558213904003375,0.18237330929853612
57,0.16706420575756464,0.1936384798710848
58,0.1781308723947293,0.20469410290196793
59,0.1890128167841314,0.21553646123982606
60,0.19970395964090626,0.2261635941152783
61,0.21020024217015948,0.23657495354394253
62,0.2204992448887675,0.24677112636300408
63,0.23059987898887074,0.2567536083347944
64,0.2405021350883491,0.2665246198627279
65,0.2502068777585104,0.2760869551821396
66,0.259715676835736,0.28544385863572086
67,0.26903066848193585,0.2945989229754191
68,0.27815444044215587,0.30355600565860885
69,0.28708993708400166,0.31231915990361353
70,0.29584038068257973,0.3208925778942886
71,0.3044092061007264,0.32928054401637097
72,0.3128000065540904,0.33748739640002456
73,0.321016488578455,0.3455174953561983
74,0.32906243465802965,0.3533751975461983
75,0.3369416722474541,0.3610648349273625
76,0.3446580481414441,0.36859069768295644
77,0.3522154073254898,0.3759570204791651
78,0.35961757558732665,0.38316797150240356
79,0.36686834528871565,0.3902276438208759
80,0.3739714637955578,0.3971400486891202
81,0.38093062414566864,0.40390911047619127
82,0.38774945760083973,0.41053866294951047
83,0.3944315277857512,0.41703244668917994
84,0.4009803261628989,0.4233941074432402
85,0.40739926863164716,0.42962719526419874
86,0.4136916930721532,0.4357351642921792
87,0.4198608576823077,0.44172137307105763
88,0.4259099399789228,0.4475890853016423
89,0.4318420363538427,0.4533414709508655
90,0.43766016209211933,0.4589816076485509
91,0.4433672517733166,0.46451248231396347
92,0.44896615998882466,0.46993699296337466
93,0.45445966231810087,0.47525795065750837
94,0.45985045651529605,0.480478081554227
95,0.4651411638649949,0.48560002903732413
96,0.4703343306720002,0.4906263558969693
97,0.4754324298553924,0.49555954654133627
98,0.48043786262160754,0.5004020092223316
99,0.4853529601951595,0.5051560782612222
100,0.49017998558893106,0.5098240162624215
