planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
40,52,50.0,20,0.0,0.0,2080,0.0,2,1.0000000000000002,1.0,1.0000000000000002,1.0,0.0,0,1.0000000000000004,3.8036019534591157,0.0,coarse_3deg_600s
44,48,50.0,0,0.0,0.0,2112,0.0,2,1.0000000000000002,1.0,1.0000000000000002,1.0,0.0,0,1.0000000000000004,3.8663963501890533,0.0,coarse_3deg_600s
38,52,50.0,19,0.0,0.0,1976,0.0,1,1.0000000000000002,1.0,0.9994392283182721,0.9791666666666666,0.0,0,1.0000000000000004,3.6150753763877836,0.0,coarse_3deg_600s
32,40,52.0,31,0.0,0.0,1280,1.1745697916666666,0,0.9787230690236264,0.9097222222222222,0.774718146856356,0.5416666666666666,2400.0,22,0.957480551752705,2.3594385687766035,-4.36446872665254,coarse_3deg_600s
33,39,52.0,8,0.0,0.0,1287,1.1668175,0,0.9717891462012214,0.9097222222222222,0.7524604190864793,0.5347222222222222,1800.0,135,0.9551831716282706,2.374369509348082,-4.36446872665254,coarse_3deg_600s
36,35,52.0,1,0.0,0.0,1260,1.1716447916666668,0,0.9829272799967139,0.9027777777777778,0.7654638072942753,0.4583333333333333,1200.0,17,0.9651331305459787,2.322093506989174,-4.36446872665254,coarse_3deg_600s
36,35,55.0,1,0.0,0.0,1260,1.1605770833333333,0,0.9780695934532654,0.8958333333333334,0.720300881499353,0.4305555555555556,1200.0,58,0.9650559526038451,2.2193722793221613,-4.36446872665254,coarse_3deg_600s
39,33,52.0,1,0.0,0.0,1287,1.1733279166666668,0,0.9738330005886726,0.8958333333333334,0.7923248043605925,0.5277777777777778,1200.0,8,0.9401093452807103,2.3731294122178133,-4.36446872665254,coarse_3deg_600s
39,32,52.0,38,0.0,0.0,1248,1.171895,0,0.9734881301840791,0.8888888888888888,0.7722688695727277,0.4652777777777778,600.0,121,0.9251898503112227,2.3013282959918016,-4.36446872665254,coarse_3deg_600s
32,40,52.0,24,0.0,0.0,1280,1.1779552083333333,0,0.9843434602235652,0.8888888888888888,0.7956687165903161,0.4791666666666667,600.0,0,0.9734815184491541,2.3605776992001344,-4.36446872665254,coarse_3deg_600s
