site_a,site_b,delay_ms,source_sat,target_sat,isl_hops,time_s
0,1,11.486136412486431,1415,1467,,0.0
0,2,18.52587119132468,413,567,,0.0
0,3,25.109029870112273,1415,1621,,0.0
0,4,31.870066828435345,1415,1673,,0.0
0,5,38.77031486514689,413,773,,0.0
0,6,8.260412877489568,413,414,,0.0
0,7,11.854466132213446,1415,1517,,0.0
0,8,18.740885268463042,1415,1619,,0.0
0,9,25.054596392126534,413,569,,0.0
0,10,29.025868746647724,1415,1722,,0.0
0,11,35.59467893874278,1415,1774,,0.0
0,12,18.20600838337559,1415,1515,,0.0
0,13,14.574346729004887,413,364,,0.0
0,14,20.766527718931012,413,416,,0.0
0,15,27.138827175282973,413,468,,0.0
0,16,28.518495215390015,1415,1772,,0.0
0,17,35.28570018579385,1415,1824,,0.0
0,18,26.511438463801227,1415,1564,,0.0
0,19,24.191490064903757,413,315,,0.0
0,20,21.250529315881657,413,366,,0.0
0,21,27.00522379188491,413,418,,0.0
0,22,32.763190963020286,413,470,,0.0
0,23,38.44922573670936,413,522,,0.0
0,24,32.31920351894281,413,162,,0.0
0,25,31.938711958662864,413,214,,0.0
0,26,32.138383081452815,413,266,,0.0
0,27,28.043606422313918,413,368,,0.0
0,28,31.3036553324916,413,369,,0.0
0,29,36.436764608116505,413,421,,0.0
0,30,42.401241940116705,413,11,,0.0
0,31,42.62511013294372,413,63,,0.0
0,32,44.654979092130596,413,64,,0.0
0,33,40.108207240081775,413,217,,0.0
0,34,41.317203038384186,413,269,,0.0
0,35,44.15125998644603,413,270,,0.0
1,2,11.71786725020468,515,567,,0.0
1,3,18.558913794955597,1467,1621,,0.0
1,4,25.427334510421215,1467,1673,,0.0
1,5,32.35328547829551,515,773,,0.0
1,6,11.073418939370953,1467,1465,,0.0
1,7,11.672131282299944,1467,1517,,0.0
1,8,14.795381950685154,515,518,,0.0
1,9,18.637567005275148,515,569,,0.0
1,10,22.708732153722092,1467,1722,,0.0
1,11,29.420678688792037,1467,1774,,0.0
1,12,18.20044150693103,1467,1515,,0.0
1,13,21.093833604367195,1467,1566,,0.0
1,14,21.16463130500412,515,416,,0.0
1,15,21.391044868681597,515,468,,0.0
1,16,27.888137251171525,515,622,,0.0
1,17,29.271587715024808,1467,1824,,0.0
1,18,26.824729508071762,1467,1564,,0.0
1,19,27.190126645088682,1467,1616,,0.0
1,20,27.62646846056868,515,366,,0.0
1,21,27.430277410624022,515,418,,0.0
1,22,27.89800640975463,515,470,,0.0
1,23,33.73165082184171,515,572,,0.0
1,24,34.94341570560829,1467,1665,,0.0
1,25,37.07499857903898,1467,1716,,0.0
1,26,37.40958551746227,1467,1768,,0.0
1,27,33.536947813665215,515,368,,0.0
1,28,33.63786107210922,515,420,,0.0
1,29,34.35714008360866,515,472,,0.0
1,30,44.80249114291482,1467,1868,,0.0
1,31,44.97479685606608,1467,1920,,0.0
1,32,48.03193821652026,1467,13,,0.0
1,33,44.62355603352906,515,217,,0.0
1,34,45.37511940917132,515,269,,0.0
1,35,47.83726641873216,515,270,,0.0
2,3,11.289008141879185,567,619,,0.0
2,4,18.527797368888976,1569,1673,,0.0
2,5,25.142635124224626,567,773,,0.0
2,6,15.539368082497985,567,414,,0.0
2,7,11.904935774617826,1569,1517,,0.0
2,8,11.778206019530582,1569,1619,,0.0
2,9,11.426916651204264,567,569,,0.0
2,10,15.809195012189859,1569,1722,,0.0
2,11,22.521141547259802,1569,1774,,0.0
2,12,18.3969325937813,1569,1515,,0.0
2,13,14.778215902571088,1569,1566,,0.0
2,14,15.131768593791303,1569,1618,,0.0
2,15,20.80993675212905,567,468,,0.0
2,16,20.9629704089282,567,622,,0.0
2,17,22.372050573492572,1569,1824,,0.0
2,18,21.23928763406117,1569,1564,,0.0
2,19,21.210118658445502,1569,1616,,0.0
2,20,26.62872882991948,1569,1718,,0.0
2,21,26.658668396443677,567,418,,0.0
2,22,24.591194510412947,567,521,,0.0
2,23,27.21322208143873,567,572,,0.0
2,24,29.80101169101765,1569,1665,,0.0
2,25,31.93259456444834,1569,1716,,0.0
2,26,31.82414364345168,1569,1768,,0.0
2,27,32.311756453438704,1569,1820,,0.0
2,28,32.41452018844079,567,420,,0.0
2,29,32.88791787674309,567,472,,0.0
2,30,40.630075069757694,1569,1868,,0.0
2,31,40.309881402586726,1569,1920,,0.0
2,32,43.36702276304091,1569,13,,0.0
2,33,43.15433382666349,567,217,,0.0
2,34,43.66239791616601,567,269,,0.0
2,35,45.90272693643535,567,270,,0.0
3,4,11.31580236089563,1621,1673,,0.0
3,5,18.404727055565903,619,773,,0.0
3,6,22.25177461503364,619,414,,0.0
3,7,15.079238153522038,619,466,,0.0
3,8,11.161022832923306,1621,1619,,0.0
3,9,11.182854351319246,1621,1671,,0.0
3,10,11.815357503907292,1621,1723,,0.0
3,11,15.505141110956428,1621,1774,,0.0
3,12,24.40929122877018,1621,1515,,0.0
3,13,20.79057453755997,1621,1566,,0.0
3,14,14.640181123409839,1621,1618,,0.0
3,15,20.818888747206067,1621,1720,,0.0
3,16,14.475582760893555,619,622,,0.0
3,17,20.65148765582286,619,674,,0.0
3,18,24.61918310488661,1621,1615,,0.0
3,19,21.0689194925989,1621,1616,,0.0
3,20,26.487529664072877,1621,1718,,0.0
3,21,26.396909048141335,1621,1770,,0.0
3,22,24.236127548344875,619,521,,0.0
3,23,21.105621602110997,619,572,,0.0
3,24,30.111544408294566,1621,1665,,0.0
3,25,32.24312728172526,1621,1716,,0.0
3,26,31.89918131374712,1621,1768,,0.0
3,27,32.1705572875921,1621,1820,,0.0
3,28,31.83265258754642,619,420,,0.0
3,29,32.06405685431309,619,472,,0.0
3,30,41.429988431977804,1621,1868,,0.0
3,31,40.86629541365281,1621,1920,,0.0
3,32,43.92343677410699,1621,13,,0.0
3,33,42.33047280423348,619,217,,0.0
3,34,42.59191837573765,619,269,,0.0
3,35,44.59663279263044,619,270,,0.0
4,5,11.700597947923283,721,773,,0.0
4,6,29.871601656679463,721,414,,0.0
4,7,22.69906519516786,721,466,,0.0
4,8,17.922059791246372,1673,1619,,0.0
4,9,11.0381258217035,1673,1671,,0.0
4,10,11.601244825472738,1673,1723,,0.0
4,11,11.950312381605382,721,723,,0.0
4,12,30.8514696243898,1673,1515,,0.0
4,13,27.232752933179594,1673,1566,,0.0
4,14,18.011902112715205,1673,1669,,0.0
4,15,20.924680758628128,1673,1720,,0.0
4,16,20.90128800737708,1673,1772,,0.0
4,17,21.15346613803782,721,674,,0.0
4,18,30.63049474705374,1673,1615,,0.0
4,19,24.702938682046593,1673,1667,,0.0
4,20,26.973108913541232,1673,1718,,0.0
4,21,26.678422838371585,1673,1770,,0.0
4,22,27.05374893736196,1673,1822,,0.0
4,23,27.585435412031316,721,572,,0.0
4,24,31.06591837835495,1673,1665,,0.0
4,25,33.197501251785646,1673,1716,,0.0
4,26,32.61156185742986,1673,1768,,0.0
4,27,32.656136537060455,1673,1820,,0.0
4,28,36.88767973696373,1673,1974,,0.0
4,29,37.251762120409495,1673,17,,0.0
4,30,42.86659503154718,1673,1868,,0.0
4,31,42.06728706428871,1673,1920,,0.0
4,32,45.124428424742895,1673,13,,0.0
4,33,44.69473867031567,1673,65,,0.0
4,34,44.905532281781035,1673,117,,0.0
4,35,47.8937889099577,1673,219,,0.0
5,6,35.7838117563202,773,414,,0.0
5,7,28.736871011034406,773,466,,0.0
5,8,22.122424666617423,773,518,,0.0
5,9,18.26994893420117,1775,1671,,0.0
5,10,11.93681393274931,1775,1723,,0.0
5,11,8.613450246201896,1775,1774,,0.0
5,12,35.35761431592924,773,262,,0.0
5,13,28.94657566987419,773,364,,0.0
5,14,24.639383441776296,1775,1669,,0.0
5,15,21.208104008202646,1775,1720,,0.0
5,16,14.688436460810456,1775,1772,,0.0
5,17,15.039944241415327,1775,1824,,0.0
5,18,35.9428837834122,1775,1615,,0.0
5,19,30.49281573363234,1775,1667,,0.0
5,20,27.23240245713479,1775,1718,,0.0
5,21,21.195747341371515,1775,1770,,0.0
5,22,21.176507106168536,1775,1822,,0.0
5,23,26.601935153776857,1775,1924,,0.0
5,24,35.885807670489065,1775,1665,,0.0
5,25,31.13386264772464,1775,1819,,0.0
5,26,28.049412318939066,1775,1768,,0.0
5,27,27.61649898334237,1775,1820,,0.0
5,28,31.848042183245656,1775,1974,,0.0
5,29,31.76908662340943,1775,17,,0.0
5,30,39.69864923129148,1775,1868,,0.0
5,31,38.47675144474388,1775,1920,,0.0
5,32,41.533892805198064,1775,13,,0.0
5,33,40.625088876049226,1775,65,,0.0
5,34,40.34338274329024,1775,117,,0.0
5,35,43.331639371466906,1775,219,,0.0
6,7,11.353138052116556,1465,1517,,0.0
6,8,18.00657795428868,1465,1619,,0.0
6,9,22.06809328329984,414,569,,0.0
6,10,27.988536814831278,1465,1722,,0.0
6,11,34.38162512529996,1465,1774,,0.0
6,12,11.394473914748389,1465,1515,,0.0
6,13,11.587843620178198,414,364,,0.0
6,14,14.91015127579455,1465,1618,,0.0
6,15,21.088858899590782,1465,1720,,0.0
6,16,27.305441401947192,1465,1772,,0.0
6,17,33.88214575613761,1465,1824,,0.0
6,18,20.018761915889122,1465,1564,,0.0
6,19,20.384159052906043,1465,1616,,0.0
6,20,18.26402620705496,414,366,,0.0
6,21,24.018720683058216,414,418,,0.0
6,22,27.21792707832461,1465,1822,,0.0
6,23,32.643355125932935,1465,1924,,0.0
6,24,28.137448113425652,1465,1665,,0.0
6,25,28.95220884983617,414,214,,0.0
6,26,29.15187997262612,414,266,,0.0
6,27,25.057103313487225,414,368,,0.0
6,28,28.317152223664912,414,369,,0.0
6,29,33.45026149928981,414,421,,0.0
6,30,37.99652355073218,1465,1868,,0.0
6,31,38.168829263883445,1465,1920,,0.0
6,32,41.22597062433763,1465,13,,0.0
6,33,37.121704131255086,414,217,,0.0
6,34,38.3306999295575,414,269,,0.0
6,35,41.16475687761934,414,270,,0.0
7,8,11.178967483424053,466,518,,0.0
7,9,15.021152538014048,466,569,,0.0
7,10,22.119616653152512,1517,1722,,0.0
7,11,28.45247495924188,466,723,,0.0
7,12,11.69073090922694,1517,1515,,0.0
7,13,11.204736631047297,466,364,,0.0
7,14,10.892971515603072,466,416,,0.0
7,15,17.455771625705353,466,468,,0.0
7,16,21.612243121894803,1517,1772,,0.0
7,17,28.379448092298638,1517,1824,,0.0
7,18,20.66540728092683,1517,1564,,0.0
7,19,20.4714916624113,466,315,,0.0
7,20,17.530530913389196,466,366,,0.0
